// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
0084: $1679 = $214 // $ = $ int 
0060: $1679 -= $1678 // $ -= $ int 
0084: $1678 = $1679 // $ = $ int 
$1678 /= 1000 // $ /= int 
0084: $1680 = $1678 // $ = $ int 
$1680 /= 60 // $ /= int 
0084: $1681 = $1680 // $ = $ int 
$1681 *= 60 // $ *= int 
0060: $1678 -= $1681 // $ -= $ int 
02FD: text_2numbers_highpriority 'RACES17' $1680 $1678 time 5000 1  // New best time: ~1~:~1~
wait 1000 
if 
  3 > $213 // int > $ 
else_jump @DTTT_2188 
wait 500 
00BC: text_highpriority 'ASS1_3' time 15000 1  // bring me home
018A: 8@ = create_checkpoint_at 1292.206 674.397 38.788 

:DTTT_1928
wait 0 
03C1: 0@ = player $PLAYER_CHAR car_no_save 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @DTTT_1928 
if 
   not Actor.Dead(10@)
else_jump @DTTT_2489 
if and
00FA:   player $PLAYER_CHAR stopped 1 1288.427 698.113 38.788 radius 5.0 5.0 5.0 
   Actor.InCar(10@, 0@)
else_jump @DTTT_1928 
Marker.Disable(8@)
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
01E0: clear_leader 10@ 
01D3: actor 10@ leave_car 0@ 
0210: player $PLAYER_CHAR look_at_actor 10@ 
022D: set_actor 10@ to_look_at_player $PLAYER_CHAR 
wait 500 
00BC: text_highpriority 'ASS1_4' time 60000 1  // now you in team
$880 = 22000 // $ = int 
$879 = 25000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASS1_4'  // now you in team
0084: $214 = $1679 // $ = $ int 
fade 0 0 
wait 250 
0230: set_player $PLAYER_CHAR stop_looking 
Actor.DestroyInstantly(10@)
wait 1500 
SAVEA_315() 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
Camera.Restore_WithJumpCut

:DTTT_2188
if 
  3 > $213 // int > $ 
else_jump @DTTT_2229 
$213 = 3 // $ = int 
create_thread @SALI4 
create_thread @PHONEB 

:DTTT_2229
01E3: text_1number_styled 'M_PASS' number 15000 time 5000 style 1  // MISSION PASSED! $~1~
Player.Money($PLAYER_CHAR) += 15000
0394: play_music 1 
return 

:DTTT_2261
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
03F4: set_all_vehicles_apply_damage_rules 0 
00BA: text_styled 'RACES_4' 1100 ms 4  // 3
018C: play_sound 7 at 0.0 0.0 0.0 
wait 1000 
00BA: text_styled 'RACES_5' 1100 ms 4  // 2
018C: play_sound 8 at 0.0 0.0 0.0 
wait 1000 
00BA: text_styled 'RACES_6' 1100 ms 4  // 1
018C: play_sound 9 at 0.0 0.0 0.0 
wait 1000 
00BA: text_styled 'RACES_7' 800 ms 4  // GO!
018C: play_sound 10 at 0.0 0.0 0.0 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
03F4: set_all_vehicles_apply_damage_rules 1 
jump @DTTT_627 

:DTTT_2455
00BC: text_highpriority 'TAXI2' time 2000 1  // ~r~You're out of time!
fade 0 500 
wait 2000 
SAVEA_315() 

:DTTT_2489
014F: stop_timer $1678 
Actor.DestroyWithFade(10@)
00BA: text_styled 'M_FAIL' 4000 ms 1  // MISSION FAILED!
return 

:DTTT_2516
Marker.Disable(8@)
$ONMISSION = 0 // $ = int 
create_thread @DTEST 
mission_cleanup 
return 

//-------------Mission 7---------------
// Originally: Treacherous Swine

:SBORD
SBORD_36() 
if 
wasted_or_busted 
else_jump @SBORD_27 
SBORD_1837() 

:SBORD_27
SBORD_1854() 
end_thread 

:SBORD_36
increment_mission_attempts 
thread 'SBORD' 
$ONMISSION = 1 // $ = int 
fade 0 0 
Model.Load(#CELLPHONE)

:SBORD_66
wait 0 
if 
   Model.Available(#CELLPHONE)
else_jump @SBORD_66 
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
0055: put_player $PLAYER_CHAR at 1094.115 424.76 23.271 
0171: set_player $PLAYER_CHAR z_angle_to 90.0 
Camera.SetBehindPlayer
wait 1000 
SAVEA_315() 
052B: actor $PLAYER_ACTOR hold_cellphone 1 
00BC: text_highpriority 'ASM4_1' time 60000 1  // ~r~go get checkpoints
$880 = 58000 // $ = int 
$879 = 60000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASM4_1'  // ~r~go get checkpoints
052B: actor $PLAYER_ACTOR hold_cellphone 0 
Model.Destroy(#CELLPHONE)
wait 500 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
Player.SetMinWantedLevel($PLAYER_CHAR, 2)
Model.Load(#PATRIOT)
Model.Load(#FBIRANCH)
Model.Load(#VICECHEE)
Model.Load(#SENTXS)
Model.Load(#HNA)
Model.Load(#HNB)
038B: load_requested_models 

:SBORD_273
wait 0 
if and
   Model.Available(#PATRIOT)
   Model.Available(#FBIRANCH)
   Model.Available(#VICECHEE)
   Model.Available(#SENTXS)
   Model.Available(#HNA)
   Model.Available(#HNB)
else_jump @SBORD_273 
fade 0 0 

:SBORD_322
wait 0 
0208: 1@ = random_float 650.0 1500.0 
0208: 2@ = random_float -250.0 1200.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 1@ 2@ 30.0 
if 
80EC:   not actor $PLAYER_ACTOR 0 4@ 5@ radius 80.5 80.5 
else_jump @SBORD_322 
$920 = Car.Create(#PATRIOT, 4@, 5@, 6@)
0129: $919 = create_actor 4 #HNA in_car $920 driverseat 
Car.SetImmunities($920, 1, 1, 0, 0, 0)
00AE: set_vehicle $920 traffic_behavior_to 2 
Car.SetMaxSpeed($920, 70.0)

:SBORD_473
wait 0 
0208: 1@ = random_float 650.0 1500.0 
0208: 2@ = random_float -250.0 1200.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 1@ 2@ 30.0 
if 
80EC:   not actor $PLAYER_ACTOR 0 1@ 2@ radius 80.5 80.5 
else_jump @SBORD_473 
$931 = Car.Create(#FBIRANCH, 4@, 5@, 6@)
0129: $930 = create_actor 4 #HNB in_car $931 driverseat 
Car.SetImmunities($931, 1, 1, 0, 0, 0)
00AE: set_vehicle $931 traffic_behavior_to 2 
Car.SetMaxSpeed($931, 60.0)

:SBORD_624
wait 0 
0208: 1@ = random_float 650.0 1500.0 
0208: 2@ = random_float -250.0 1200.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 1@ 2@ 30.0 
if 
80EC:   not actor $PLAYER_ACTOR 0 1@ 2@ radius 80.5 80.5 
else_jump @SBORD_624 
$938 = Car.Create(#VICECHEE, 4@, 5@, 6@)
0129: $937 = create_actor 4 #HNA in_car $938 driverseat 
Car.SetImmunities($938, 1, 1, 0, 0, 0)
00AE: set_vehicle $938 traffic_behavior_to 2 
Car.SetMaxSpeed($938, 60.0)

:SBORD_775
wait 0 
0208: 1@ = random_float 650.0 1500.0 
0208: 2@ = random_float -250.0 1200.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 1@ 2@ 30.0 
if 
80EC:   not actor $PLAYER_ACTOR 0 1@ 2@ radius 80.5 80.5 
else_jump @SBORD_775 
$945 = Car.Create(#SENTXS, 4@, 5@, 6@)
0129: $944 = create_actor 4 #HNA in_car $945 driverseat 
Car.SetImmunities($945, 1, 1, 0, 0, 0)
00AE: set_vehicle $945 traffic_behavior_to 2 
Car.SetMaxSpeed($945, 60.0)
$1682 = 0 // $ = int 
$1683 = 0 // $ = int 
$1684 = Marker.CreateAboveCar($920)
$1685 = Marker.CreateAboveCar($931)
$1686 = Marker.CreateAboveCar($938)
$1687 = Marker.CreateAboveCar($945)
SBORD_1588() 
04F7: status_text $1682 0 line 1 'ASM3_4'  // whole:
04F7: status_text $1683 0 line 2 'ASM3_5'  // collected:
wait 1000 
SAVEA_315() 

:SBORD_1025
wait 0 
if 
  20 > $1682 // int > $ 
else_jump @SBORD_1767 
024F: create_corona_with_radius 6.5 type 6 lensflares 1 with_color 20 60 200 at $924 $926 $928 
if 
00F7:   player $PLAYER_CHAR sphere 0 near_point_in_car $924 $926 $928 radius 6.5 6.5 6.5 
else_jump @SBORD_1137 
$1683 += 1 // $ += int 
SBORD_1588() 
jump @SBORD_1025 

:SBORD_1137
if 
   not Car.Wrecked($920)
else_jump @SBORD_1248 
if 
  $1688 == 0 // $ == int 
else_jump @SBORD_1192 
$1688 = 1 // $ = int 
Car.DriveTo($920, $924, $926, $928)

:SBORD_1192
if 
0100:   actor $919 near_point_in_car $924 $926 $928 radius 7.0 7.0 7.0 sphere 0 
else_jump @SBORD_1248 
SBORD_1588() 
jump @SBORD_1025 

:SBORD_1248
if 
   not Car.Wrecked($931)
else_jump @SBORD_1359 
if 
  $1689 == 0 // $ == int 
else_jump @SBORD_1303 
$1689 = 1 // $ = int 
Car.DriveTo($931, $924, $926, $928)

:SBORD_1303
if 
0100:   actor $930 near_point_in_car $924 $926 $928 radius 7.0 7.0 7.0 sphere 0 
else_jump @SBORD_1359 
SBORD_1588() 
jump @SBORD_1025 

:SBORD_1359
if 
   not Car.Wrecked($938)
else_jump @SBORD_1470 
if 
  $1690 == 0 // $ == int 
else_jump @SBORD_1414 
$1690 = 1 // $ = int 
Car.DriveTo($938, $924, $926, $928)

:SBORD_1414
if 
0100:   actor $937 near_point_in_car $924 $926 $928 radius 7.0 7.0 7.0 sphere 0 
else_jump @SBORD_1470 
SBORD_1588() 
jump @SBORD_1025 

:SBORD_1470
if 
   not Car.Wrecked($945)
else_jump @SBORD_1581 
if 
  $1691 == 0 // $ == int 
else_jump @SBORD_1525 
$1691 = 1 // $ = int 
Car.DriveTo($945, $924, $926, $928)

:SBORD_1525
if 
0100:   actor $944 near_point_in_car $924 $926 $928 radius 7.0 7.0 7.0 sphere 0 
else_jump @SBORD_1581 
SBORD_1588() 
jump @SBORD_1025 

:SBORD_1581
jump @SBORD_1025 

:SBORD_1588
wait 0 
0208: 1@ = random_float 650.0 1500.0 
0208: 2@ = random_float -250.0 1200.0 
02CE: 3@ = ground_z 1@ 2@ 100.0 
02C1: set $924 $926 $928 to_car_path_coords_closest_to 1@ 2@ 3@ 
if 
80EC:   not actor $PLAYER_ACTOR 0 $924 $926 radius 10.0 10.0 
else_jump @SBORD_1588 
$1688 = 0 // $ = int 
$1689 = 0 // $ = int 
$1690 = 0 // $ = int 
$1691 = 0 // $ = int 
$1682 += 1 // $ += int 
Marker.Disable($1692)
018A: $1692 = create_checkpoint_at $924 $926 $928 
018C: play_sound 1 at 0.0 0.0 0.0 
return 

:SBORD_1767
Marker.Disable($1692)
if 
  $1683 > 6 // $ > int 
else_jump @SBORD_1837 
$1683 *= 1000 // $ *= int 
01E3: text_1number_styled 'M_PASS' number $1683 time 5000 style 1  // MISSION PASSED! $~1~
Player.Money($PLAYER_CHAR) += $1683
$217 = 1 // $ = int 
0394: play_music 1 
return 

:SBORD_1837
00BA: text_styled 'M_FAIL' 4000 ms 1  // MISSION FAILED!
return 

:SBORD_1854
$ONMISSION = 0 // $ = int 
Marker.Disable($1692)
Marker.Disable($1684)
Marker.Disable($1685)
Marker.Disable($1686)
Marker.Disable($1687)
0151: remove_status_text $1682 
0151: remove_status_text $1683 
Model.Destroy(#PATRIOT)
Model.Destroy(#FBIRANCH)
Model.Destroy(#VICECHEE)
Model.Destroy(#SENTXS)
Model.Destroy(#HNA)
Model.Destroy(#HNB)
Player.ClearWantedLevel($PLAYER_CHAR)
mission_cleanup 
return 

//-------------Mission 8---------------
// Originally: Mall Shootout

:BUGAL
BUGAL_36() 
if 
wasted_or_busted 
else_jump @BUGAL_27 
BUGAL_871() 

:BUGAL_27
BUGAL_888() 
end_thread 

:BUGAL_36
thread 'BUGAL' 
$ONMISSION = 1 // $ = int 
023C: load_special_actor 1 'SAM' 
Model.Load(#WMOGO)
Model.Load(#SECURICA)

:BUGAL_74
if or
823D:   not special_actor 1 loaded 
   not Model.Available(#WMOGO)
   not Model.Available(#SECURICA)
else_jump @BUGAL_109 
wait 0 
jump @BUGAL_74 

:BUGAL_109
0208: 4@ = random_float -1000.0 1000.0 
0208: 5@ = random_float -1000.0 1000.0 
02C1: set 1@ 2@ 3@ to_car_path_coords_closest_to 4@ 5@ 0.0 
10@ = Car.Create(#SECURICA, 1@, 2@, 3@)
0129: 11@ = create_actor 4 #WMOGO in_car 10@ driverseat 
01ED: clear_actor 11@ threat_search 
0243: set_actor 11@ ped_stats_to 16 
011A: set_actor 11@ search_threat 1 
12@ = Marker.CreateAboveCar(10@)
$1693 = 1 // $ = int 
Car.SetMaxSpeed(10@, 30.0)
00AE: set_vehicle 10@ traffic_behavior_to 2 
01EC: make_car 10@ very_heavy 1 
Car.Health(10@) = 3000
TIMERA = 0 // @ = int 

:BUGAL_263
wait 0 
if 
00DC:   player $PLAYER_CHAR in_car 10@ 
else_jump @BUGAL_813 
if 
  $1693 == 1 // $ == int 
else_jump @BUGAL_343 
$1693 = 0 // $ = int 
Marker.Disable(12@)
018A: 14@ = create_checkpoint_at 738.101 904.35 15.829 
Player.WantedLevel($PLAYER_CHAR) = 3

:BUGAL_343
if 
00F5:   player $PLAYER_CHAR 1 738.101 904.35 15.829 radius 5.0 5.0 5.0 
else_jump @BUGAL_813 
Player.CanMove($PLAYER_CHAR) = False
fade 0 0 
0395: clear_area 0 at 738.101 904.35 50.0 range 50.0 
Player.ClearWantedLevel($PLAYER_CHAR)
Car.PutAt(10@, 739.101, 904.35, 15.829)
Car.Angle(10@) = 0.0
0@ = Actor.Create(CivMale, #SPECIAL01, 728.101, 904.35, 15.829)
wait 1000 
Camera.SetPosition(745.101, 908.35, 23.829, 0.0, 0.0, 0.0)
0157: camera_on_player $PLAYER_CHAR mode 15 switchstyle 2 
0239: actor 0@ run_to 733.101 904.35 
012A: put_player $PLAYER_CHAR at 735.101 904.75 15.829 and_remove_from_car 
0171: set_player $PLAYER_CHAR z_angle_to 160.0 
Car.Health(10@) = 3000
SAVEA_315() 

:BUGAL_593
wait 50 
if 
0101:   actor 0@ stopped_near_point 738.101 904.35 15.829 radius 10.0 10.0 5.5 sphere 0 
else_jump @BUGAL_593 
Camera.SetPosition(727.101, 904.35, 20.829, 0.0, 0.0, 0.0)
Camera.OnVehicle(10@, 15, 2)
Actor.Angle(0@) = 310.0
0372: set_actor 0@ anim 19 wait_state_time 2000 ms 
wait 2000 
01D5: actor 0@ go_to_and_drive_car 10@ 

:BUGAL_719
wait 0 
if 
   Actor.Driving(0@)
else_jump @BUGAL_719 
wait 1000 
fade 0 0 
Camera.SetBehindPlayer
wait 500 
Car.Destroy(10@)
SAVEA_315() 
Player.CanMove($PLAYER_CHAR) = True
01E3: text_1number_styled 'M_PASS' number 10000 time 5000 style 1  // MISSION PASSED! $~1~
Player.ClearWantedLevel($PLAYER_CHAR)
Player.Money($PLAYER_CHAR) += 10000
0394: play_music 1 
return 

:BUGAL_813
if 
0185:   car 10@ health >= 1 
else_jump @BUGAL_871 
if and
  TIMERA > 240000 // @ > int 
82CA:   not car 10@ bounding_sphere_visible 
else_jump @BUGAL_864 
jump @BUGAL_871 

:BUGAL_864
jump @BUGAL_263 

:BUGAL_871
00BA: text_styled 'M_FAIL' 4000 ms 1  // MISSION FAILED!
return 

:BUGAL_888
Pickup.Destroy($1694)
$ONMISSION = 0 // $ = int 
Marker.Disable(12@)
Marker.Disable(14@)
Actor.DestroyInstantly(0@)
Actor.DestroyInstantly(11@)
0296: unload_special_actor 1 
Model.Destroy(#WMOGO)
Model.Destroy(#SECURICA)
mission_cleanup 
return 

//-------------Mission 9---------------
// Originally: Guardian Angels

:FINAL
FINAL_36() 
if 
wasted_or_busted 
else_jump @FINAL_27 
FINAL_10910() 

:FINAL_27
FINAL_11107() 
end_thread 

:FINAL_36
thread 'FINAL' 
$ONMISSION = 1 // $ = int 
054C: use_GXT_table 'BARON2' 
018C: play_sound 1 at 0.0 0.0 0.0 
Model.Load(#VOODOO)
Model.Load(#CELLPHONE)
Model.Load(#HNA)
Model.Load(#HNB)
Model.Load(#RUGER)
Model.Load(#ROCKETLA)
Model.Load(#SNIPER)
Model.Load(#COLT45)
Model.Load(#UZI)
Model.Load(#MAVERICK)
Model.Load(#M60)
Model.Load(#STRETCH)
Model.Load(#BARREL4)

:FINAL_144
wait 0 
if and
   Model.Available(#VOODOO)
   Model.Available(#HNA)
   Model.Available(#HNB)
   Model.Available(#RUGER)
   Model.Available(#CELLPHONE)
   Model.Available(#COLT45)
   Model.Available(#SNIPER)
else_jump @FINAL_144 
wait 0 

:FINAL_196
wait 0 
if and
   Model.Available(#ROCKETLA)
   Model.Available(#UZI)
   Model.Available(#MAVERICK)
   Model.Available(#STRETCH)
   Model.Available(#M60)
   Model.Available(#BARREL4)
else_jump @FINAL_196 

:FINAL_240
wait 0 
023C: load_special_actor 8 'IGBUDDY' 
if 
023D:   special_actor 8 loaded 
else_jump @FINAL_240 

:FINAL_271
wait 0 
023C: load_special_actor 6 'SAM' 
wait 0 
if 
023D:   special_actor 6 loaded 
else_jump @FINAL_271 
042B: clear_peds_from_cube -1200.14 60.0655 -6.44536 -1138.27 109.673 20.44536 
022A: remove_forbidden_for_peds_cube -1200.14 60.0655 -6.44536 -1138.27 109.673 20.44536 
$1695 = Car.Create(#VOODOO, -1180.494, 85.933, 10.147)
Car.Angle($1695) = 270.0
$1696 = Car.Create(#VOODOO, -1162.03, 104.562, 10.147)
Car.Angle($1696) = 180.0
$1697 = Car.Create(#VOODOO, -1181.852, 102.105, 10.147)
Car.Angle($1697) = 270.0
$1698 = Actor.Create(Gang2, #HNA, -1178.338, 100.358, 10.147)
Actor.Angle($1698) = 180.0
$1699 = Actor.Create(Gang2, #HNB, -1177.667, 88.311, 10.147)
Actor.Angle($1699) = 0.0
$1700 = Actor.Create(Gang2, #HNA, -1161.291, 100.399, 10.147)
Actor.Angle($1700) = 160.0
$1701 = Actor.Create(Gang2, #HNB, -1161.139, 99.279, 10.147)
Actor.Angle($1701) = 100.0
$1702 = Actor.Create(Gang2, #HNA, -1171.642, 78.833, 10.147)
Actor.Angle($1702) = 270.0
$1703 = Actor.Create(Gang2, #HNB, -1165.693, 98.207, 10.147)
Actor.Angle($1703) = 180.0
$1704 = Actor.Create(Gang2, #HNA, -1165.693, 96.207, 10.147)
Actor.Angle($1704) = 0.0
$1705 = Actor.Create(Gang2, #HNB, -1172.111, 91.44, 10.147)
Actor.Angle($1705) = 270.0
$1706 = Actor.Create(Gang2, #HNA, -1185.342, 107.076, 10.147)
Actor.Angle($1706) = 100.0
$1707 = Actor.Create(Gang2, #HNB, -1171.125, 91.423, 10.147)
Actor.Angle($1707) = 90.0
020A: set_car $1695 door_status_to 2 
020A: set_car $1696 door_status_to 2 
020A: set_car $1697 door_status_to 2 
01B2: give_actor $1698 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1699 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1700 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1701 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1702 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1703 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1704 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1705 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1706 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1707 weapon 27 ammo 9999 // Load the weapon model before using this 
03F9: make_actors $1707 $1705 converse_in 999999999 ms 
03F9: make_actors $1700 $1701 converse_in 999999999 ms 
03F9: make_actors $1703 $1704 converse_in 999999999 ms 
$1708 = Actor.Create(Gang2, #HNA, -1192.756, 102.774, 16.977)
Actor.Angle($1708) = 180.0
$1709 = Actor.Create(Gang2, #HNB, -1181.052, 74.399, 16.977)
Actor.Angle($1709) = 90.0
$1710 = Actor.Create(Gang2, #HNA, -1187.847, 80.946, 16.977)
Actor.Angle($1710) = 90.0
$1711 = Actor.Create(Gang2, #HNB, -1187.851, 92.008, 16.977)
Actor.Angle($1711) = 120.0
$1712 = Actor.Create(Gang2, #HNA, -1189.016, 102.917, 16.977)
Actor.Angle($1712) = 180.0
$1713 = Actor.Create(Gang2, #HNB, -1196.411, 102.809, 16.977)
Actor.Angle($1713) = 180.0
$1714 = Actor.Create(Gang2, #HNA, -1197.579, 96.193, 16.977)
Actor.Angle($1714) = 250.0
$1715 = Actor.Create(Gang2, #HNB, -1197.578, 79.563, 16.858)
Actor.Angle($1715) = 270.0
$1716 = Actor.Create(Gang2, #HNA, -1197.578, 68.657, 16.954)
Actor.Angle($1716) = 270.0
$1717 = Actor.Create(Gang2, #HNB, -1186.656, 70.919, 10.147)
Actor.Angle($1717) = 0.0
$1718 = Actor.Create(Gang2, #HNA, -1196.199, 72.758, 10.147)
Actor.Angle($1718) = 0.0
01B2: give_actor $1708 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1709 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1710 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1711 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1712 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1713 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1714 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1715 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1716 weapon 27 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1717 weapon 17 ammo 9999 // Load the weapon model before using this 
01B2: give_actor $1718 weapon 17 ammo 9999 // Load the weapon model before using this 
018A: $1719 = create_checkpoint_at -1191.906 76.761 10.147 
$1720 = 300000 // $ = int 
03C3: set_timer_with_text_to $1720 type 1 text 'RACES'  // TIME:

:FINAL_1498
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @FINAL_1498 
if or
0056:   player $PLAYER_CHAR 0 -1199.14 66.0703 -1174.12 87.1445 
  $1720 > 10 // $ > int 
else_jump @FINAL_10374 
if 
0121:   player $PLAYER_CHAR in_zone 'HAITI'  // Little Haiti
else_jump @FINAL_1498 
if 
80F8:   not player $PLAYER_CHAR stopped 1 -1191.906 76.761 10.147 radius 2.0 2.0 3.0 
else_jump @FINAL_2035 
if 
02D5:   player $PLAYER_CHAR shooting_in_area -1200.14 60.0655 -1138.27 109.673 0 
else_jump @FINAL_1681 
jump @FINAL_10910 

:FINAL_1681
0470: 0@ = actor $PLAYER_ACTOR armed_weapon 
if and
831D:   not actor $1698 hit_by_weapon 0@ 
831D:   not actor $1699 hit_by_weapon 0@ 
831D:   not actor $1700 hit_by_weapon 0@ 
831D:   not actor $1701 hit_by_weapon 0@ 
831D:   not actor $1702 hit_by_weapon 0@ 
831D:   not actor $1703 hit_by_weapon 0@ 
831D:   not actor $1704 hit_by_weapon 0@ 
else_jump @FINAL_10910 
if and
831D:   not actor $1705 hit_by_weapon 0@ 
831D:   not actor $1706 hit_by_weapon 0@ 
831D:   not actor $1707 hit_by_weapon 0@ 
831D:   not actor $1708 hit_by_weapon 0@ 
831D:   not actor $1709 hit_by_weapon 0@ 
831D:   not actor $1710 hit_by_weapon 0@ 
831D:   not actor $1711 hit_by_weapon 0@ 
else_jump @FINAL_10910 
if and
831D:   not actor $1712 hit_by_weapon 0@ 
831D:   not actor $1713 hit_by_weapon 0@ 
831D:   not actor $1714 hit_by_weapon 0@ 
831D:   not actor $1715 hit_by_weapon 0@ 
831D:   not actor $1716 hit_by_weapon 0@ 
831D:   not actor $1717 hit_by_weapon 0@ 
831D:   not actor $1718 hit_by_weapon 0@ 
else_jump @FINAL_10910 
if and
   not Actor.Dead($1698)
   not Actor.Dead($1699)
   not Actor.Dead($1700)
   not Actor.Dead($1701)
   not Actor.Dead($1702)
   not Actor.Dead($1703)
   not Actor.Dead($1704)
else_jump @FINAL_10910 
if and
   not Actor.Dead($1705)
   not Actor.Dead($1706)
   not Actor.Dead($1707)
   not Actor.Dead($1708)
   not Actor.Dead($1709)
   not Actor.Dead($1710)
   not Actor.Dead($1711)
else_jump @FINAL_10910 
if and
   not Actor.Dead($1712)
   not Actor.Dead($1713)
   not Actor.Dead($1714)
   not Actor.Dead($1715)
   not Actor.Dead($1716)
   not Actor.Dead($1717)
   not Actor.Dead($1718)
else_jump @FINAL_10910 
jump @FINAL_1498 

:FINAL_2035
Marker.Disable($1719)
014F: stop_timer $1720 
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
03B8: clear_weapons_from_player $PLAYER_CHAR 
02A3: enable_widescreen 1 
03BA: clear_cars_from_cube -1187.74 104.416 0.0 -1198.41 64.7945 30.0 
fade 0 0 
$881 = 1 // $ = int 
03CF: load_wav 'MOBRING' as $881 
SAVEA_356() 
0055: put_player $PLAYER_CHAR at -1191.906 76.761 10.147 
Actor.Angle($PLAYER_ACTOR) = 180.0
0171: set_player $PLAYER_CHAR z_angle_to 180.0 
Camera.SetBehindPlayer
SAVEA_315() 
03D1: play_wav 1 

:FINAL_2186
wait 0 
if 
03D2:   wav 1 ended 
else_jump @FINAL_2186 
040D: unload_wav 1 
wait 700 
052B: actor $PLAYER_ACTOR hold_cellphone 1 
wait 1000 
00BC: text_highpriority 'ASS1_5' time 60000 1  // tom, its a duck. salieri has sold you to lance. be on roof for two minutes.
$880 = 24000 // $ = int 
$879 = 25000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASS1_5'  // tom, its a duck. salieri has sold you to lance. be on roof for two minutes.
052B: actor $PLAYER_ACTOR hold_cellphone 0 
$1721 = Actor.Create(CivMale, #SPECIAL08, -1182.551, 69.103, 16.605)
01B2: give_actor $1721 weapon 27 ammo 9999 // Load the weapon model before using this 
0239: actor $1721 run_to -1196.844 69.216 
0460: set_camera_pointing_time 0.0 1500 
Camera.SetPosition(-1191.906, 79.761, 12.147, 0.0, 0.0, 0.0)
Camera.OnPed($1721, 15, 1)

:FINAL_2383
wait 0 
if 
00ED:   actor $1721 0 -1196.844 69.216 radius 1.0 1.0 
else_jump @FINAL_2383 
0211: actor $1721 walk_to -1194.034 74.15 

:FINAL_2440
wait 0 
if 
00ED:   actor $1721 0 -1194.034 74.15 radius 1.0 1.0 
else_jump @FINAL_2440 
0372: set_actor $1721 anim 19 wait_state_time 3000 ms 
wait 250 
00BC: text_highpriority 'ASM_5' time 60000 1  // saliri knew that you is good goods. he searched who pay more.
$880 = 22000 // $ = int 
$879 = 25000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASM_5'  // saliri knew that you is good goods. he searched who pay more.
wait 250 
00BC: text_highpriority 'ASM4_2' time 60000 1  // ten stems around you and you not armed... i give you a chance
$880 = 24000 // $ = int 
$879 = 25000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASM4_2'  // ten stems around you and you not armed... i give you a chance
022C: set_actor $1721 to_look_at_actor $1715 
00BC: text_highpriority 'ASM4_3' time 2000 1  // kill him
wait 2000 
022F: set_actor $1721 stop_looking 
Camera.SetPosition(-1191.906, 79.761, 12.147, 0.0, 0.0, 0.0)
0157: camera_on_player $PLAYER_CHAR mode 15 switchstyle 2 
